ASSOC|Cartoradio_Number|Ant_Number|TAC|CID|EARFCN|PCI|Score
ASSOC|193815|18649|49402|1081602|2825|488|0.8851792519923906
ASSOC|305271|70055|49402|1082880|2825|139|0.5058989678163685
ASSOC|305271|70057|49402|1082881|2825|136|0.8689765895517133
ASSOC|335176|347505|49402|1083136|2825|441|0.9661373109611866
ASSOC|335176|347509|49402|1083138|2825|443|0.8259469488315758
ASSOC|305271|70059|49402|1098752|2825|137|0.8723057840005222
ASSOC|305271|70061|49402|1098753|2825|140|0.9889974657355955
ASSOC|383808|580741|49402|155837954|2825|86|0.9274730248825369
ASSOC|2038454|6587917|49402|157645826|2825|276|0.8425316301680127
ASSOC|65235|18420|49402|158694656|2825|502|0.897456430271719
ASSOC|1748667|5439127|49402|158796563|78|97|0.3333333333333333
ASSOC|80427|3308574|49402|158798081|2825|295|0.8481088321394892
ASSOC|371115|3190562|49402|158800128|2825|81|0.9871377792116866
ASSOC|371115|3190566|49402|158800130|2825|83|0.6698962593053708
ASSOC|371115|3190564|49402|158800135|6300|82|1.8304500672838817
ASSOC|371115|3190564|49402|158800147|78|82|1.8304500672838817
ASSOC|367891|505551|49402|159130624|2825|75|0.9002050409258875
ASSOC|367891|505553|49402|159130625|2825|76|0.9938840812387197
ASSOC|367891|505551|49402|159130624|78|75|9999
ASSOC|2230691|7576192|49402|160525570|2825|215|0.5163081005236357
ASSOC|2230691|7576188|49402|160525571|1501|214|0.9656603069227456
ASSOC|113609|18628|49402|158799362|2825|270|0.01
ASSOC|113609|18628|49402|158799380|78|270|0.01
ASSOC|113609|18629|49402|158799362|2825|271|0.01
ASSOC|113609|18629|49402|158799380|78|271|0.01
ASSOC|113609|18630|49402|158799362|2825|272|1.325093459810692
ASSOC|113609|18630|49402|158799380|78|272|1.325093459810692
ASSOC|67086|62553|49402|158797312|2825|153|0.01
ASSOC|67086|62553|49402|158797312|78|153|0.01
ASSOC|67086|62555|49402|158797313|2825|154|0.01
ASSOC|67086|62555|49402|158797313|78|154|0.01
ASSOC|67086|2240303|49402|158797314|2825|155|0.01
ASSOC|67086|2240303|49402|158797314|78|155|0.01
